"구분별","상태별","항목","단위","2020. 01. 31","2020. 02. 01","2020. 02. 02","2020. 02. 03","2020. 02. 04","2020. 02. 05","2020. 02. 06","2020. 02. 07","2020. 02. 08","2020. 02. 09","2020. 02. 10","2020. 02. 11","2020. 02. 12","2020. 02. 13","2020. 02. 14","2020. 02. 15","2020. 02. 16","2020. 02. 17","2020. 02. 18","2020. 02. 19","2020. 02. 20","2020. 02. 21","2020. 02. 22","2020. 02. 23","2020. 02. 24","2020. 02. 25","2020. 02. 26","2020. 02. 27","2020. 02. 28","2020. 02. 29","2020. 03. 01","2020. 03. 02","2020. 03. 03","2020. 03. 04","2020. 03. 05","2020. 03. 06","2020. 03. 07","2020. 03. 08","2020. 03. 09","2020. 03. 10","2020. 03. 11","2020. 03. 12","2020. 03. 13","2020. 03. 14","2020. 03. 15","2020. 03. 16","2020. 03. 17","2020. 03. 18","2020. 03. 19","2020. 03. 20","2020. 03. 21","2020. 03. 22","2020. 03. 23","2020. 03. 24","2020. 03. 25","2020. 03. 26","2020. 03. 27","2020. 03. 28","2020. 03. 29","2020. 03. 30","2020. 03. 31","2020. 04. 01","2020. 04. 02","2020. 04. 03","2020. 04. 04","2020. 04. 05","2020. 04. 06","2020. 04. 07","2020. 04. 08","2020. 04. 09","2020. 04. 10","2020. 04. 11","2020. 04. 12","2020. 04. 13","2020. 04. 14","2020. 04. 15","2020. 04. 16","2020. 04. 17","2020. 04. 18","2020. 04. 19","2020. 04. 20","2020. 04. 21","2020. 04. 22","2020. 04. 23","2020. 04. 24","2020. 04. 25","2020. 04. 26","2020. 04. 27","2020. 04. 28","2020. 04. 29","2020. 04. 30","2020. 05. 01","2020. 05. 02","2020. 05. 03","2020. 05. 04","2020. 05. 05","2020. 05. 06","2020. 05. 07","2020. 05. 08","2020. 05. 09","2020. 05. 10","2020. 05. 11","2020. 05. 12","2020. 05. 13","2020. 05. 14","2020. 05. 15","2020. 05. 16","2020. 05. 17","2020. 05. 18","2020. 05. 19","2020. 05. 20","2020. 05. 21","2020. 05. 22","2020. 05. 23","2020. 05. 24","2020. 05. 25","2020. 05. 26","2020. 05. 27","2020. 05. 28","2020. 05. 29","2020. 05. 30","2020. 05. 31","2020. 06. 01","2020. 06. 02","2020. 06. 03","2020. 06. 04","2020. 06. 05","2020. 06. 06","2020. 06. 07","2020. 06. 08","2020. 06. 09","2020. 06. 10","2020. 06. 11","2020. 06. 12","2020. 06. 13","2020. 06. 14","2020. 06. 15","2020. 06. 16","2020. 06. 17","2020. 06. 18","2020. 06. 19","2020. 06. 20","2020. 06. 21","2020. 06. 22","2020. 06. 23","2020. 06. 24","2020. 06. 25","2020. 06. 26","2020. 06. 27","2020. 06. 28","2020. 06. 29","2020. 06. 30","2020. 07. 01","2020. 07. 02","2020. 07. 03","2020. 07. 04","2020. 07. 05","2020. 07. 06","2020. 07. 07","2020. 07. 08","2020. 07. 09","2020. 07. 10","2020. 07. 11","2020. 07. 12","2020. 07. 13","2020. 07. 14","2020. 07. 15","2020. 07. 16","2020. 07. 17","2020. 07. 18","2020. 07. 19","2020. 07. 20","2020. 07. 21","2020. 07. 22","2020. 07. 23","2020. 07. 24","2020. 07. 25","2020. 07. 26","2020. 07. 27","2020. 07. 28","2020. 07. 29","2020. 07. 30","2020. 07. 31","2020. 08. 01","2020. 08. 02","2020. 08. 03","2020. 08. 04","2020. 08. 05","2020. 08. 06","2020. 08. 07","2020. 08. 08","2020. 08. 09","2020. 08. 10","2020. 08. 11","2020. 08. 12","2020. 08. 13","2020. 08. 14","2020. 08. 15","2020. 08. 16","2020. 08. 17","2020. 08. 18","2020. 08. 19","2020. 08. 20","2020. 08. 21","2020. 08. 22","2020. 08. 23","2020. 08. 24","2020. 08. 25","2020. 08. 26","2020. 08. 27","2020. 08. 28","2020. 08. 29","2020. 08. 30","2020. 08. 31","2020. 09. 01","2020. 09. 02","2020. 09. 03","2020. 09. 04","2020. 09. 05","2020. 09. 06","2020. 09. 07","2020. 09. 08","2020. 09. 09","2020. 09. 10","2020. 09. 11","2020. 09. 12","2020. 09. 13","2020. 09. 14","2020. 09. 15","2020. 09. 16","2020. 09. 17","2020. 09. 18","2020. 09. 19","2020. 09. 20","2020. 09. 21","2020. 09. 22","2020. 09. 23","2020. 09. 24","2020. 09. 25","2020. 09. 26","2020. 09. 27","2020. 09. 28","2020. 09. 29","2020. 09. 30","2020. 10. 01","2020. 10. 02","2020. 10. 03","2020. 10. 04","2020. 10. 05","2020. 10. 06","2020. 10. 07","2020. 10. 08","2020. 10. 09","2020. 10. 10","2020. 10. 11","2020. 10. 12","2020. 10. 13","2020. 10. 14","2020. 10. 15","2020. 10. 16","2020. 10. 17","2020. 10. 18","2020. 10. 19","2020. 10. 20","2020. 10. 21","2020. 10. 22","2020. 10. 23","2020. 10. 24","2020. 10. 25","2020. 10. 26","2020. 10. 27","2020. 10. 28","2020. 10. 29","2020. 10. 30","2020. 10. 31","2020. 11. 01","2020. 11. 02","2020. 11. 03","2020. 11. 04","2020. 11. 05","2020. 11. 06","2020. 11. 07","2020. 11. 08","2020. 11. 09","2020. 11. 10","2020. 11. 11","2020. 11. 12","2020. 11. 13","2020. 11. 14","2020. 11. 15","2020. 11. 16","2020. 11. 17","2020. 11. 18","2020. 11. 19",
"전체","신규","인원","명","","","","","18","1","4","1","0","3","0","1","0","0","0","0","1","1","1","20","53","100","229","169","231","144","284","505","571","813","586","476","600","516","438","518","483","367","248","131","242","114","110","107","76","74","84","93","152","87","147","98","64","76","100","104","91","146","105","78","125","101","89","86","94","81","47","47","53","39","27","30","32","25","27","27","22","22","18","8","13","9","11","8","6","10","10","10","14","9","4","9","6","13","8","3","2","4","12","18","34","35","27","26","29","27","19","13","15","13","32","12","20","23","25","16","19","40","79","58","39","27","35","38","49","39","39","51","57","38","38","50","45","56","48","34","36","34","43","59","49","67","48","17","46","51","28","39","51","62","42","43","50","54","63","63","61","46","44","63","49","45","35","44","62","33","39","61","60","39","34","26","45","63","59","41","113","58","25","28","48","18","36","31","30","23","34","33","43","20","43","36","28","34","54","56","103","166","279","197","246","297","288","324","332","397","266","280","320","441","371","323","299","248","235","267","195","198","168","167","119","136","156","155","176","136","121","109","106","113","153","126","110","82","70","61","110","125","114","61","95","50","38","113","77","63","75","64","73","75","114","69","54","72","58","97","102","84","110","47","73","91","76","58","91","121","155","77","61","119","88","103","125","114","127","124","97","75","118","125","145","89","143","126","100","146","143","191","205","208","223","230","313","343",
"전체","누적","인원","명","0","","","0","18","19","23","24","24","27","27","28","28","28","28","28","29","30","31","51","104","204","433","602","833","977","1261","1766","2337","3150","3736","4212","4812","5328","5766","6284","6767","7134","7382","7513","7755","7869","7979","8086","8162","8236","8320","8413","8565","8652","8799","8897","8961","9037","9137","9241","9332","9478","9583","9661","9786","9887","9976","10062","10156","10237","10284","10331","10384","10423","10450","10480","10512","10537","10564","10591","10613","10635","10653","10661","10674","10683","10694","10702","10708","10718","10728","10738","10752","10761","10765","10774","10780","10793","10801","10804","10806","10810","10822","10840","10874","10909","10936","10962","10991","11018","11037","11050","11065","11078","11110","11122","11142","11165","11190","11206","11225","11265","11344","11402","11441","11468","11503","11541","11590","11629","11668","11719","11776","11814","11852","11902","11947","12003","12051","12085","12121","12155","12198","12257","12306","12373","12421","12438","12484","12535","12563","12602","12653","12715","12757","12800","12850","12904","12967","13030","13091","13137","13181","13244","13293","13338","13373","13417","13479","13512","13551","13612","13672","13711","13745","13771","13816","13879","13938","13979","14092","14150","14175","14203","14251","14269","14305","14336","14366","14389","14423","14456","14499","14519","14562","14598","14626","14660","14714","14770","14873","15039","15318","15515","15761","16058","16346","16670","17002","17399","17665","17945","18265","18706","19077","19400","19699","19947","20182","20449","20644","20842","21010","21177","21296","21432","21588","21743","21919","22055","22176","22285","22391","22504","22657","22783","22893","22975","23045","23106","23216","23341","23455","23516","23611","23661","23699","23812","23889","23952","24027","24091","24164","24239","24353","24422","24476","24548","24606","24703","24805","24889","24988","25035","25108","25199","25275","25333","25424","25543","25698","25775","25836","25955","26043","26146","26271","26385","26511","26635","26732","26807","26925","27050","27195","27284","27427","27553","27653","27799","27942","28133","28338","28546","28769","28998","29311","29654",
"전체","신규","인원","명","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","3","2","3","2","1","0","4","1","4","6","4","3","7","2","6","1","3","6","6","1","5","3","0","6","3","7","3","8","2","7","9","6","5","8","5","8","6","4","3","4","5","3","6","3","6","8","4","4","3","3","3","5","3","4","1","2","2","2","1","1","2","0","0","2","1","1","2","1","1","2","0","2","2","1","1","0","0","0","0","2","1","1","0","2","0","1","0","0","1","0","2","0","1","2","0","0","0","0","1","1","1","1","0","0","0","0","0","1","2","0","1","0","0","0","1","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","1","0","2","1","0","1","0","0","0","2","2","1","1","1","0","1","0","1","0","0","1","1","0","0","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","1","0","1","2","0","0","0","1","2","1","3","5","2","1","0","2","3","2","2","1","2","5","3","2","4","5","3","5","4","0","5","5","1","5","2","3","0","5","2","4","2","5","1","6","2","1","4","1","1","0","3","2","1","2","2","1","1","4","1","2","2","1","0","3","3","3","2","2","0","0","3","1","1","1","1","2","2","4","2","1","1","1","1","2","5","2","0","1","4","1","1","0","2","2",
"전체","누적","인원","명","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","5","7","10","12","13","13","17","18","22","28","32","35","42","44","50","51","54","60","66","67","72","75","75","81","84","91","94","102","104","111","120","126","131","139","144","152","158","162","165","169","174","177","183","186","192","200","204","208","211","214","217","222","225","229","230","232","234","236","237","238","240","240","240","242","243","244","246","247","248","250","250","252","254","255","256","256","256","256","256","258","259","260","260","262","262","263","263","263","264","264","266","266","267","269","269","269","269","269","270","271","272","273","273","273","273","273","273","274","276","276","277","277","277","277","278","279","280","280","280","280","280","281","281","282","282","282","282","282","282","282","282","282","283","283","284","285","285","287","288","288","289","289","289","289","291","293","294","295","296","296","297","297","298","298","298","299","300","300","300","301","301","301","301","301","302","302","303","304","305","305","305","305","305","305","305","305","305","306","306","307","309","309","309","309","310","312","313","316","321","323","324","324","326","329","331","333","334","336","341","344","346","350","355","358","363","367","367","372","377","378","383","385","388","388","393","395","399","401","406","407","413","415","416","420","421","422","422","425","427","428","430","432","433","434","438","439","441","443","444","444","447","450","453","455","457","457","457","460","461","462","463","464","466","468","472","474","475","476","477","478","480","485","487","487","488","492","493","494","494","496","498",
"남성","신규","인원","명","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","22","15","15","14","14","13","10","6","14","7","4","5","6","6","4","5","4","6","4","7","4","4","4","6","7","6","2","2","3","7","17","24","31","20","18","17","16","12","5","11","9","23","9","","","15","8","13","16","47","32","21","15","","","23","20","21","27","30","12","18","22","28","0","51","16","","","18","25","25","39","25","9","35","31","15","24","28","38","20","25","0","60","32","38","32","25","21","35","28","36","22","32","39","16","33","-33","115","23","21","19","25","39","39","23","96","49","12","22","32","13","24","23","21","15","23","23","34","13","23","17","14","20","34","31","51","70","102","75","90","109","133","148","145","157","118","137","145","207","175","141","154","114","114","133","87","94","82","79","66","73","76","76","77","81","0","114","48","67","74","57","45","0","84","37","59","65","54","25","42","26","27","77","43","38","47","40","47","50","53","39","","","34","56","64","51","21","21","26","49","34","38","47","59","73","41","26","51","41","46","68","54","63","","","43","61","63","74","50","76","57","56","68","77","91","","","118","117","184","181",
"남성","누적","인원","명","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3905","","","","","4138","4163","4185","4200","4215","4229","4243","4256","4266","4272","4286","4293","4297","4302","4308","4314","4318","4323","4327","4333","4337","4344","4348","4352","4356","4362","4369","4375","4377","4379","4382","4389","4406","4430","4461","4481","4499","4516","4532","4544","4549","4560","4569","4592","4601","","4628","4643","4651","4664","4680","4727","4759","4780","4795","","4829","4852","4872","4893","4920","4950","4962","4980","5002","5030","5030","5081","5097","","5138","5156","5181","5206","5245","5270","5279","5314","5345","5360","5384","5412","5450","5470","5495","5495","5555","5587","5625","5657","5682","5703","5738","5766","5802","5824","5856","5895","5911","5944","5911","6026","6049","6070","6089","6114","6153","6192","6215","6311","6360","6372","6394","6426","6439","6463","6486","6507","6522","6545","6568","6602","6615","6638","6655","6669","6689","6723","6754","6805","6875","6977","7052","7142","7251","7384","7532","7677","7834","7952","8089","8234","8441","8616","8757","8911","9025","9139","9272","9359","9453","9535","9614","9680","9753","9829","9905","9982","10063","10063","10177","10225","10292","10366","10423","10468","10468","10552","10589","10648","10713","10767","10792","10834","10860","10887","10964","11007","11045","11092","11132","11179","11229","11282","11321","","11389","11423","11479","11543","11594","11615","11636","11662","11711","11745","11783","11830","11889","11962","12003","12029","12080","12121","12167","12235","12289","12352","","12460","12503","12564","12627","12701","12751","12827","12884","12940","13008","13085","13176","","13381","13499","13616","13800","13981",
"남성","신규","인원","명","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","1","2","2","2","2","1","2","4","0","2","0","1","0","1","1","0","0","0","0","1","1","1","0","0","0","1","0","1","1","0","0","0","0","0","1","1","0","1","0","1","0","0","1","","","0","1","1","0","0","0","0","1","","","1","0","0","0","0","0","1","1","0","0","0","0","","","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1","0","1","0","1","0","1","0","0","0","1","0","0","1","0","-54","54","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","2","3","2","0","0","1","1","1","1","0","2","3","1","1","2","1","0","4","2","0","3","3","1","0","3","1","0","4","1","3","2","3","0","1","2","1","4","1","1","0","1","2","","","1","0","1","1","0","1","1","0","0","2","3","1","1","2","0","0","2","1","0","1","0","","","0","0","1","1","0","1","0","3","2","0","0","","","0","0","1","1",
"남성","누적","인원","명","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82","","","","","101","106","107","109","111","113","115","116","118","122","122","124","124","125","125","126","127","127","127","127","127","128","129","130","130","130","130","131","131","132","133","133","133","133","133","133","134","135","135","136","136","137","137","137","138","","140","140","141","142","142","142","142","142","143","","144","145","145","145","145","145","145","146","147","147","147","147","147","","148","149","150","150","150","150","150","150","150","151","151","151","151","151","151","151","151","151","151","151","151","152","152","153","153","153","153","153","153","153","154","154","155","155","156","156","157","157","158","158","158","158","159","159","159","160","160","106","160","160","160","160","160","161","162","162","162","162","162","162","162","162","162","163","163","163","163","163","163","163","164","165","165","167","170","172","172","172","173","174","175","176","176","178","181","182","183","185","186","186","190","192","192","195","198","199","199","202","203","203","207","208","211","213","216","216","217","219","220","224","225","226","226","227","229","","230","231","231","232","233","233","234","235","235","235","237","240","241","242","244","244","244","246","247","247","248","248","","249","249","249","250","251","251","252","252","255","257","257","257","","260","260","260","261","262",
"여성","신규","인원","명","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","17","12","15","18","11","14","17","16","8","11","4","8","3","5","4","1","6","4","6","7","5","0","5","0","6","2","1","0","1","5","1","10","4","7","8","12","11","7","8","4","4","9","3","","","10","8","6","24","32","26","18","12","","","26","19","18","24","27","26","20","28","17","0","53","18","","","25","34","24","28","23","8","11","20","13","15","23","24","22","18","0","44","31","25","29","21","23","28","21","9","13","12","23","17","6","-6","45","16","13","7","20","24","20","18","17","9","13","6","16","5","12","8","9","8","11","10","9","7","20","19","14","14","20","25","52","96","177","122","156","188","155","176","187","240","148","143","175","234","196","182","145","134","121","134","108","104","86","88","53","63","80","79","99","55","0","116","58","46","79","69","65","0","68","24","51","60","60","36","53","24","11","36","34","25","28","24","26","25","61","30","","","24","41","38","33","78","26","47","42","42","20","44","60","82","36","35","68","47","57","57","60","63","","","32","57","62","71","39","67","69","44","78","66","100","","","105","112","129","162",
"여성","누적","인원","명","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5881","","","","","6193","6221","6238","6250","6265","6283","6294","6308","6325","6341","6349","6360","6364","6372","6375","6380","6384","6385","6391","6395","6401","6408","6413","6413","6418","6418","6424","6426","6427","6427","6428","6433","6434","6444","6448","6455","6463","6475","6486","6493","6501","6505","6509","6518","6521","","6537","6547","6555","6561","6585","6617","6643","6661","6673","","6712","6738","6757","6775","6799","6826","6852","6872","6900","6917","6917","6970","6988","","7017","7042","7076","7100","7128","7151","7159","7170","7190","7203","7218","7241","7265","7287","7305","7305","7349","7380","7405","7434","7455","7478","7506","7527","7536","7549","7561","7584","7601","7607","7601","7646","7662","7675","7682","7702","7726","7746","7764","7781","7790","7803","7809","7825","7830","7842","7850","7859","7867","7878","7888","7897","7904","7924","7943","7957","7971","7991","8016","8068","8164","8341","8463","8619","8807","8962","9138","9325","9565","9713","9856","10031","10265","10461","10643","10788","10922","11043","11177","11285","11389","11475","11563","11616","11679","11759","11838","11937","11992","11992","12108","12166","12212","12291","12360","12425","12425","12493","12517","12568","12628","12688","12724","12777","12801","12812","12848","12882","12907","12935","12959","12985","13010","13071","13101","","13159","13183","13224","13262","13295","13373","13399","13446","13488","13530","13550","13594","13654","13736","13772","13807","13875","13922","13979","14036","14096","14159","","14272","14304","14361","14423","14494","14533","14600","14669","14713","14791","14857","14957","","15165","15270","15382","15511","15673",
